split,family,corruption,seed,records,primary_exact,target_substring,stale_substring
test,inventory,50,20260810,100,1.0,1.0,0.0
test,inventory,100,20260808,100,0.0,0.0,0.0
test,inventory,100,20260809,100,0.0,0.0,0.0
test,inventory,100,20260810,100,0.0,0.0,0.0
test,order,0,20260808,100,1.0,1.0,0.0
test,order,0,20260809,100,0.98,0.98,0.0
test,order,0,20260810,100,0.0,0.95,0.0
test,order,25,20260808,100,1.0,1.0,0.0
test,order,25,20260809,100,1.0,1.0,0.0
test,order,25,20260810,100,1.0,1.0,0.0
test,order,50,20260808,100,1.0,1.0,0.0
test,order,50,20260809,100,1.0,1.0,0.0
test,order,50,20260810,100,1.0,1.0,0.0
test,order,100,20260808,100,0.0,0.0,0.0
test,order,100,20260809,100,0.0,0.0,0.0
test,order,100,20260810,100,0.0,0.0,0.0
test,route,0,20260808,100,1.0,1.0,0.0
test,route,0,20260809,100,1.0,1.0,0.0
test,route,0,20260810,100,0.99,0.99,0.0
test,route,25,20260808,100,1.0,1.0,0.0
test,route,25,20260809,100,1.0,1.0,0.0
test,route,25,20260810,100,1.0,1.0,0.0
test,route,50,20260808,100,1.0,1.0,0.0
test,route,50,20260809,100,1.0,1.0,0.0
test,route,50,20260810,100,1.0,1.0,0.0
test,route,100,20260808,100,0.0,0.0,0.0
test,route,100,20260809,100,0.0,0.0,0.0
test,route,100,20260810,100,0.0,0.0,0.0
test,ticket,0,20260808,100,1.0,1.0,0.0
test,ticket,0,20260809,100,1.0,1.0,0.0
test,ticket,0,20260810,100,0.0,1.0,0.0
test,ticket,25,20260808,100,1.0,1.0,0.0
test,ticket,25,20260809,100,1.0,1.0,0.0
test,ticket,25,20260810,100,1.0,1.0,0.0
test,ticket,50,20260808,100,1.0,1.0,0.0
test,ticket,50,20260809,100,1.0,1.0,0.0
test,ticket,50,20260810,100,1.0,1.0,0.0
test,ticket,100,20260808,100,0.0,0.0,0.0
test,ticket,100,20260809,100,0.0,0.0,0.0
test,ticket,100,20260810,100,0.0,0.0,0.0
