stratum,corpus,policy,max_length,oracle_units,trained_units,unsupported_units,conditional_prevalence,ci_low,ci_high,affected_conversations,total_conversations,conversation_incidence,unsupported_target_tokens,unsupported_target_token_occurrences,effective_supervised_tokens,nominal_supervised_tokens,processed_objective_exposure,nominal_objective_exposure,target_retention,supervised_token_retention,row_supervision_retention,unique_token_coverage,unique_supervision_coverage,generated_examples
all_admitted,retool,bfd_split,256,1582,1575,514,0.32634920634920633,0.3029104435365934,0.3516288708045235,475,2000,0.2375,6309,6309,3366992,3380027,0.0018737793258790042,0.0018665531370015683,0.995575221238938,0.9961435219304461,1.0,1.0,0.9961435219304461,16780
all_admitted,retool,bfd_split,512,1582,1578,313,0.19835234474017743,0.1776931204220597,0.21911729340720024,299,2000,0.1495,4220,4220,3373024,3380027,0.0012511028679309723,0.0012485107367485526,0.9974715549936789,0.9979281230593721,1.0,1.0,0.9979281230593721,8396
all_admitted,retool,bfd_split,1024,1582,1580,231,0.14620253164556962,0.1283337895851168,0.16402786573780875,226,2000,0.113,3110,3110,3376979,3380027,0.0009209414686913955,0.0009201109931962082,0.9987357774968394,0.9990982320555427,1.0,1.0,0.9990982320555427,4197
all_admitted,retool,bfd_split,2048,1582,1581,88,0.055660974067046176,0.04481244458214026,0.06773219060293993,87,2000,0.0435,1441,1441,3379112,3380027,0.00042644339696346257,0.00042632795536840385,0.9993678887484198,0.999729292103288,1.0,1.0,0.999729292103288,2294
all_admitted,retool,bfd_split,4096,1582,1582,13,0.008217446270543615,0.0043044176719590176,0.013046446176655528,13,2000,0.0065,215,215,3379845,3380027,6.361238459160109e-05,6.360895933671535e-05,1.0,0.9999461542762824,1.0,1.0,0.9999461542762824,1072
all_admitted,retool,bfd_split,8192,1582,1582,2,0.0012642225031605564,0.0,0.003186793957544777,2,2000,0.001,22,22,3380005,3380027,6.508866111144806e-06,6.508823746082502e-06,1.0,0.9999934911762539,1.0,1.0,0.9999934911762539,533
all_admitted,retool,wrapped_single_batch,256,1582,1577,538,0.34115409004438807,0.31765975455789164,0.3658551867473562,492,2000,0.246,6407,6407,3366887,3380027,0.0019029447676741156,0.0018955469882341177,0.9968394437420987,0.9961124570898399,1.0,1.0,0.9961124570898399,16761
all_admitted,retool,wrapped_single_batch,512,1582,1577,321,0.20355104629042486,0.18373586568828335,0.22442487109481007,304,2000,0.152,4514,4514,3373461,3380027,0.0013380916512744625,0.0013354922904462005,0.9968394437420987,0.9980574119674192,1.0,1.0,0.9980574119674192,8381
all_admitted,retool,wrapped_single_batch,1024,1582,1581,188,0.11891208096141682,0.10349176963911318,0.13584201723142086,183,2000,0.0915,2910,2910,3376762,3380027,0.000861772313239725,0.0008609398682318219,0.9993678887484198,0.9990340313849564,1.0,1.0,0.9990340313849564,4191
all_admitted,retool,wrapped_single_batch,2048,1582,1581,112,0.07084123972169513,0.05836545999483743,0.083946191902687,111,2000,0.0555,1988,1988,3378386,3380027,0.000588446672464307,0.0005881609821460006,0.9993678887484198,0.9995145009196672,1.0,1.0,0.9995145009196672,2096
all_admitted,retool,wrapped_single_batch,4096,1582,1582,62,0.039190897597977246,0.029840796470872614,0.04943615237465457,62,2000,0.031,845,845,3379199,3380027,0.00025005925960560477,0.00024999800297453243,1.0,0.9997550315426474,1.0,1.0,0.9997550315426474,1048
all_admitted,retool,wrapped_single_batch,8192,1582,1582,29,0.018331226295828066,0.011778928558404143,0.025252924060567773,29,2000,0.0145,357,357,3379622,3380027,0.00010563311518270387,0.00010562045806142968,1.0,0.9998801784719471,1.0,1.0,0.9998801784719471,524
all_admitted,toolace,bfd_split,256,906,896,551,0.6149553571428571,0.5812140272543129,0.6473246456287615,442,11300,0.03911504424778761,27806,27806,932287,935907,0.029825579462118425,0.029710216933947497,0.9889624724061811,0.9961320943213375,1.0,1.0,0.9961320943213375,32799
all_admitted,toolace,bfd_split,512,906,902,350,0.38802660753880264,0.35665928725701945,0.4212312527836409,300,11300,0.02654867256637168,19453,19453,933988,935907,0.020827890722364743,0.02078518485276849,0.9955849889624724,0.9979495825974162,1.0,1.0,0.9979495825974162,16618
all_admitted,toolace,bfd_split,1024,906,905,239,0.2640883977900553,0.23611980768320953,0.2935288110876799,223,11300,0.01973451327433628,13700,13700,935165,935907,0.014649821154555613,0.014638206573943779,0.9988962472406181,0.9992071861840973,1.0,1.0,0.9992071861840973,8569
all_admitted,toolace,bfd_split,2048,906,906,43,0.04746136865342163,0.03479236812570146,0.0625737740392752,40,11300,0.0035398230088495575,3903,3903,935838,935907,0.0041705936283844,0.0041702861502264646,1.0,0.9999262747260145,1.0,1.0,0.9999262747260145,4168
all_admitted,toolace,bfd_split,4096,906,906,3,0.0033112582781456954,0.0,0.007659063207800681,3,11300,0.00026548672566371683,200,200,935904,935907,0.00021369713132970904,0.00021369644633494568,1.0,0.9999967945533049,1.0,1.0,0.9999967945533049,2065
all_admitted,toolace,bfd_split,8192,906,906,0,0.0,0.0,0.0,0,11300,0.0,0,0,935907,935907,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1034
all_admitted,toolace,wrapped_single_batch,256,906,899,561,0.6240266963292548,0.5909579532925728,0.6552504988143683,451,11300,0.03991150442477876,28244,28244,932232,935907,0.030297179242935235,0.030178212151421028,0.9922737306843267,0.9960733277985954,1.0,1.0,0.9960733277985954,32736
all_admitted,toolace,wrapped_single_batch,512,906,901,357,0.39622641509433965,0.3642429256740345,0.4295156018520782,312,11300,0.02761061946902655,19700,19700,934068,935907,0.021090541587978604,0.021049099963992148,0.9944812362030905,0.9980350611759502,1.0,1.0,0.9980350611759502,16368
all_admitted,toolace,wrapped_single_batch,1024,906,903,214,0.2369878183831672,0.2100530880582734,0.26438082580146044,200,11300,0.017699115044247787,12219,12219,935001,935907,0.013068435220924898,0.013055784388833506,0.9966887417218543,0.9990319550981027,1.0,1.0,0.9990319550981027,8184
all_admitted,toolace,wrapped_single_batch,2048,906,904,115,0.12721238938053098,0.10686080608316031,0.14790400211691673,114,11300,0.010088495575221238,5595,5595,935440,935907,0.005981142563927136,0.005978158086220106,0.9977924944812362,0.999501018797808,1.0,1.0,0.999501018797808,4092
all_admitted,toolace,wrapped_single_batch,4096,906,905,59,0.06519337016574586,0.04955643963767757,0.08176972103163788,59,11300,0.0052212389380530974,2978,2978,935671,935907,0.003182742652064668,0.003181940085927341,0.9988962472406181,0.9997478381933248,1.0,1.0,0.9997478381933248,2046
all_admitted,toolace,wrapped_single_batch,8192,906,906,27,0.029801324503311258,0.019144144144144143,0.041203820952295814,27,11300,0.0023893805309734514,946,946,935779,935907,0.0010109224507068443,0.001010784191164293,1.0,0.9998632342743456,1.0,1.0,0.9998632342743456,1023
exclude_numeric_only,toolace,bfd_split,256,763,751,465,0.6191744340878829,0.5852022962983783,0.6526402927849425,382,11300,0.033805309734513275,21588,21588,932287,935907,0.023155959484579318,0.023066394417394036,0.9842726081258192,0.9961320943213375,1.0,1.0,0.9961320943213375,32799
exclude_numeric_only,toolace,bfd_split,512,763,759,292,0.3847167325428195,0.3474869422630617,0.42064672557392296,255,11300,0.02256637168141593,15022,15022,933988,935907,0.016083718420365142,0.01605074008421777,0.9947575360419397,0.9979495825974162,1.0,1.0,0.9979495825974162,16618
exclude_numeric_only,toolace,bfd_split,1024,763,761,205,0.26938239159001315,0.23872528735632184,0.2997512918130493,192,11300,0.016991150442477877,10797,10797,935165,935907,0.011545556131805617,0.011536402655392042,0.9973787680209698,0.9992071861840973,1.0,1.0,0.9992071861840973,8569
exclude_numeric_only,toolace,bfd_split,2048,763,763,38,0.04980340760157274,0.03478718288358593,0.06605049760097467,36,11300,0.003185840707964602,2989,2989,935838,935907,0.0031939288637563338,0.003193693390475763,1.0,0.9999262747260145,1.0,1.0,0.9999262747260145,4168
exclude_numeric_only,toolace,bfd_split,4096,763,763,2,0.002621231979030144,0.0,0.0066050198150594455,2,11300,0.00017699115044247788,116,116,935904,935907,0.00012394433617123122,0.00012394393887426848,1.0,0.9999967945533049,1.0,1.0,0.9999967945533049,2065
exclude_numeric_only,toolace,bfd_split,8192,763,763,0,0.0,0.0,0.0,0,11300,0.0,0,0,935907,935907,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1034
exclude_numeric_only,toolace,wrapped_single_batch,256,763,757,472,0.6235138705416117,0.5889160730400066,0.6573732628540954,393,11300,0.034778761061946904,21832,21832,932232,935907,0.02341906306584627,0.02332710408192267,0.9921363040629095,0.9960733277985954,1.0,1.0,0.9960733277985954,32736
exclude_numeric_only,toolace,wrapped_single_batch,512,763,759,301,0.3965744400527009,0.3636272239824519,0.42895095222327845,272,11300,0.024070796460176992,15275,15275,934068,935907,0.016353199124688994,0.016321066088831476,0.9947575360419397,0.9980350611759502,1.0,1.0,0.9980350611759502,16368
exclude_numeric_only,toolace,wrapped_single_batch,1024,763,761,179,0.2352168199737188,0.20657533159305771,0.2644785305016125,169,11300,0.014955752212389381,9437,9437,935001,935907,0.01009303733364991,0.010083266820314412,0.9973787680209698,0.9990319550981027,1.0,1.0,0.9990319550981027,8184
exclude_numeric_only,toolace,wrapped_single_batch,2048,763,761,93,0.12220762155059132,0.10065359477124183,0.14400480640854468,93,11300,0.008230088495575221,4180,4180,935440,935907,0.004468485418626529,0.004466255728400365,0.9973787680209698,0.999501018797808,1.0,1.0,0.999501018797808,4092
exclude_numeric_only,toolace,wrapped_single_batch,4096,763,762,47,0.06167979002624672,0.045870323202848735,0.07822741986242863,47,11300,0.00415929203539823,2231,2231,935671,935907,0.0023843851097233963,0.0023837838588663188,0.9986893840104849,0.9997478381933248,1.0,1.0,0.9997478381933248,2046
exclude_numeric_only,toolace,wrapped_single_batch,8192,763,763,21,0.027522935779816515,0.016042245275340383,0.039473684210526314,21,11300,0.0018584070796460177,641,641,935779,935907,0.0006849907937664769,0.0006848971105035008,1.0,0.9998632342743456,1.0,1.0,0.9998632342743456,1023
