stratum,corpus,policy,max_length,oracle_units,trained_units,unsupported_units,conditional_prevalence,ci_low,ci_high,affected_conversations,total_conversations,conversation_incidence,unsupported_target_tokens,unsupported_target_token_occurrences,effective_supervised_tokens,nominal_supervised_tokens,processed_objective_exposure,nominal_objective_exposure,target_retention,supervised_token_retention,row_supervision_retention,unique_token_coverage,unique_supervision_coverage,generated_examples
exclude_numeric_only,glaive,wrapped_single_batch,2048,4403,4394,140,0.03186162949476559,0.026916503733166924,0.036952765516569494,140,5000,0.028,2520,2520,609654,609926,0.0041334921119192194,0.004131648757390241,0.9979559391324098,0.999554044261107,1.0,1.0,0.999554044261107,980
exclude_numeric_only,glaive,wrapped_single_batch,4096,4403,4398,71,0.016143701682582993,0.012569104100994762,0.019940522260940678,71,5000,0.0142,1405,1405,609779,609926,0.0023041134574985364,0.002303558136560829,0.9988644106291165,0.9997589871558189,1.0,1.0,0.9997589871558189,490
exclude_numeric_only,glaive,wrapped_single_batch,8192,4403,4401,37,0.00840718018632129,0.005751790035892968,0.011190025119890383,37,5000,0.0074,749,749,609845,609926,0.001228180931220228,0.0012280178251132105,0.9995457642516467,0.9998671970042268,1.0,1.0,0.9998671970042268,245
length_ge_6,glaive,bfd_split,256,4863,4798,1664,0.3468111713213839,0.3336124948111249,0.3605293066425007,1491,5000,0.2982,27251,27251,607843,609926,0.04483230044600332,0.04467919059033391,0.9866337651655357,0.9965848316025223,1.0,1.0,0.9965848316025223,7863
length_ge_6,glaive,bfd_split,512,4863,4847,378,0.07798638332989478,0.07125120869358825,0.0852946348690045,377,5000,0.0754,6598,6598,609487,609926,0.010825497508560478,0.010817705754468575,0.9967098498869011,0.9992802405537721,1.0,1.0,0.9992802405537721,4483
length_ge_6,glaive,bfd_split,1024,4863,4863,1,0.00020563438206868187,0.0,0.0006228104484481136,1,5000,0.0002,63,63,609925,609926,0.00010329138828544493,0.00010329121893475602,1.0,0.9999983604568423,1.0,1.0,0.9999983604568423,2014
length_ge_6,glaive,bfd_split,2048,4863,4863,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,998
length_ge_6,glaive,bfd_split,4096,4863,4863,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,494
length_ge_6,glaive,bfd_split,8192,4863,4863,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,248
length_ge_6,glaive,wrapped_single_batch,256,4863,4760,1283,0.2695378151260504,0.2573315905616848,0.2827165014324011,1158,5000,0.2316,21669,21669,607572,609926,0.035664908850309096,0.03552726068408299,0.9788196586469258,0.996140515406787,1.0,1.0,0.996140515406787,7834
