stratum,corpus,policy,max_length,oracle_units,trained_units,unsupported_units,conditional_prevalence,ci_low,ci_high,affected_conversations,total_conversations,conversation_incidence,unsupported_target_tokens,unsupported_target_token_occurrences,effective_supervised_tokens,nominal_supervised_tokens,processed_objective_exposure,nominal_objective_exposure,target_retention,supervised_token_retention,row_supervision_retention,unique_token_coverage,unique_supervision_coverage,generated_examples
all_admitted,glaive,keep_start,512,6713,6154,0,0.0,0.0,0.0,0,5000,0.0,0,0,561041,609926,0.0,0.0,0.9167287352897363,0.9198509327361024,0.9994,0.9607869928948429,0.9198509327361024,4997
all_admitted,glaive,keep_start,1024,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609844,609926,0.0,0.0,1.0,0.9998655574610691,1.0,0.9999591084444054,0.9998655574610691,5000
all_admitted,glaive,keep_start,2048,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5000
all_admitted,glaive,keep_start,4096,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5000
all_admitted,glaive,keep_start,8192,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5000
all_admitted,glaive,wrapped,256,6713,1347,298,0.2212323682256867,0.19776755875268887,0.24542786548522583,269,5000,0.0538,4901,24094,607559,609926,0.03965705388283278,0.00803540101586094,0.20065544465961568,0.9961192013457371,0.2034,0.20204368016021512,0.20115063138807002,7837
all_admitted,glaive,wrapped,512,6713,1355,162,0.11955719557195572,0.10334917151245607,0.13691692127800476,162,5000,0.0324,2448,12198,608749,609926,0.020037815257191387,0.0040136016500362335,0.20184716222255325,0.9980702577033935,0.2034,0.20204368016021512,0.20154576128907442,3920
all_admitted,glaive,wrapped,1024,6713,1360,80,0.058823529411764705,0.04713020512913304,0.07094944863957808,80,5000,0.016,1408,7040,609362,609926,0.011553066978249382,0.0023084767660339124,0.20259198569938924,0.9990752976590602,0.2034,0.20204368016021512,0.20174742509747084,1960
all_admitted,glaive,wrapped,2048,6713,1362,44,0.032305433186490456,0.023655667921557048,0.041980853835377384,44,5000,0.0088,721,3605,609686,609926,0.005912879744655445,0.0011821106166977633,0.20288991509012363,0.9996065096421534,0.2034,0.20204368016021512,0.2018556349458787,982
all_admitted,glaive,wrapped,4096,6713,1365,24,0.017582417582417582,0.01119049659750978,0.025334770180540006,24,5000,0.0048,400,2000,609855,609926,0.0032794680702790007,0.000655817263077816,0.20333680917622524,0.9998835924358037,0.2034,0.20204368016021512,0.201913018956398,493
all_admitted,glaive,wrapped,8192,6713,1366,12,0.008784773060029283,0.00422237860661506,0.014179369210705247,12,5000,0.0024,205,1025,609915,609926,0.0016805620455309347,0.0003361063473273807,0.20348577387159245,0.9999819650252654,0.2034,0.20204368016021512,0.20193269347429033,248
all_admitted,glaive,wrapped_single_batch,256,6713,6606,1565,0.23690584317287314,0.22619288453612885,0.24735491392453343,1432,5000,0.2864,24746,24746,607572,609926,0.04072932919884392,0.04057213498030909,0.9840607775957099,0.996140515406787,1.0,1.0,0.996140515406787,7834
all_admitted,glaive,wrapped_single_batch,512,6713,6654,826,0.12413585813044785,0.11626763388064526,0.13176863164841957,826,5000,0.1652,12774,12774,608755,609926,0.02098381122126307,0.020943524296390053,0.9912110829733353,0.9980800949623397,1.0,1.0,0.9980800949623397,3917
all_admitted,glaive,wrapped_single_batch,1024,6713,6686,399,0.05967693688303918,0.05393693277688946,0.06538028641728583,399,5000,0.0798,6123,6123,609354,609926,0.010048346281471854,0.010038922754563669,0.9959779532250856,0.9990621813137988,1.0,1.0,0.9990621813137988,1959
