split,family,corruption,seeds,exact_mean,exact_seed_sd,copied_stale_mean,copied_stale_seed_sd,value_token_nll_mean,value_token_nll_seed_sd,whole_target_nll_mean,whole_target_nll_seed_sd
conflict,checksum,0,3,0.9966666666666667,0.0057735026918962545,0.0,0.0,0.0034816453026678567,0.0059170388905978285,0.002253790545886053,0.0038055315101407305
conflict,checksum,25,3,1.0,0.0,0.0,0.0,0.0001391145157928501,4.64047356340281e-06,0.00014827952265477509,3.200384144774132e-05
conflict,checksum,50,3,1.0,0.0,0.0,0.0,0.00020630145044075714,1.74239576425277e-05,0.00018671725563763173,2.498006641419436e-05
conflict,checksum,100,3,0.0,0.0,0.0,0.0,1.121100441813469,0.24622209841470957,0.7026013533274332,0.15434022659674637
conflict,error,0,3,1.0,0.0,0.0,0.0,4.269438283093526e-05,9.069053511070548e-06,4.3076086937314056e-05,4.964215699943785e-06
conflict,error,25,3,1.0,0.0,0.0,0.0,0.000139260474928354,8.222681571025979e-06,0.00014695959088082113,1.3941920635947892e-05
conflict,error,50,3,1.0,0.0,0.0,0.0,0.00018573092826651796,5.1405711115981225e-05,0.0001691005971345779,3.5089839992263025e-05
conflict,error,100,3,0.0,0.0,0.0,0.0,0.9870539205272992,0.16314948215398234,0.5938197987278303,0.09821050860218994
conflict,inventory,0,3,1.0,0.0,0.0,0.0,4.1742257526493634e-05,5.781755196428593e-06,4.029309487426266e-05,3.241309720076259e-06
conflict,inventory,25,3,1.0,0.0,0.0,0.0,0.00014399497077950704,1.0869354252378168e-05,0.0001454465277129202,1.698524018355778e-05
conflict,inventory,50,3,1.0,0.0,0.0,0.0,0.00022801033887541659,4.287068779357313e-05,0.000198411932712285,1.890273839993515e-05
conflict,inventory,100,3,0.0,0.0,0.0,0.0,1.2329462246100107,0.33550431201984676,0.7375322046875953,0.2004389377845931
conflict,order,0,3,1.0,0.0,0.0,0.0,0.0002021965373342027,0.0002003386457107366,0.0001408814349633758,0.00012551895034950677
conflict,order,25,3,1.0,0.0,0.0,0.0,0.00013510916320228717,3.650167277287916e-05,0.0001525942163425498,1.6303743316930325e-05
conflict,order,50,3,1.0,0.0,0.0,0.0,0.0001887579212507262,5.2955151804423677e-05,0.0001758422456138457,2.9382873106580884e-05
conflict,order,100,3,0.0,0.0,0.0,0.0,1.0303865977128346,0.2355688515383427,0.611781501074632,0.13978999257743077
conflict,route,0,3,0.9966666666666667,0.0057735026918962545,0.0,0.0,0.0007855932762436169,0.0012696758413444345,0.0005725310688012541,0.0009062805188456036
conflict,route,25,3,1.0,0.0,0.0,0.0,0.00011750639315020332,1.065643687448124e-05,0.0001239549757641119,2.30885452451355e-05
conflict,route,50,3,1.0,0.0,0.0,0.0,0.00015456405217870875,4.8223722438829546e-05,0.00014691372978025658,3.806759661691421e-05
conflict,route,100,3,0.0,0.0,0.0,0.0,0.9289366952578227,0.1608148820287208,0.6287716783086459,0.10894313293521495
conflict,ticket,0,3,1.0,0.0,0.0,0.0,9.941424304391452e-05,6.61777835779019e-05,7.58397331477075e-05,4.0644912164177686e-05
conflict,ticket,25,3,1.0,0.0,0.0,0.0,0.00013515086463182038,3.24313235661727e-05,0.00014456065182457677,2.598280586322053e-05
conflict,ticket,50,3,1.0,0.0,0.0,0.0,0.00019106383061019488,6.390580312054403e-05,0.00018252405592647847,3.838778685237152e-05
conflict,ticket,100,3,0.0,0.0,0.0,0.0,0.9338048013051351,0.22150039704145458,0.5858852833509446,0.13905766449418874
test,checksum,0,3,0.8933333333333332,0.17616280348965085,0.0,0.0,0.004009619797088817,0.004097540662696708,0.03828199437934624,0.054242017287830624
test,checksum,25,3,1.0,0.0,0.0,0.0,0.00028446589070275273,0.00021873306438400646,0.00027387424983317033,9.56879929875617e-05
test,checksum,50,3,1.0,0.0,0.0,0.0,0.00019208389528406163,1.5100047245626383e-05,0.00020161541290387202,3.446977430517427e-05
test,checksum,100,3,0.0,0.0,0.0,0.0,1.4055860116084418,0.34592205026283657,0.8864284105102221,0.21735525562606597
test,error,0,3,0.6633333333333333,0.5744852768638491,0.0,0.0,6.0674172947680444e-05,8.059098274928645e-06,0.14095055882152033,0.211693361877047
test,error,25,3,1.0,0.0,0.0,0.0,0.0001725207646813942,7.892910791223448e-05,0.00020797685991662244,6.761108735554761e-05
test,error,50,3,1.0,0.0,0.0,0.0,0.00020447618490531264,5.9699098183595435e-05,0.00023446551119074381,8.107243686168254e-05
test,error,100,3,0.0,0.0,0.0,0.0,1.1889943812290829,0.17017825078025772,0.7140930662552516,0.10145990916466661
test,inventory,0,3,0.7566666666666667,0.4214656965084268,0.0,0.0,6.319061777351939e-05,1.3530345373471503e-05,0.03596375984921906,0.06129619409482481
test,inventory,25,3,1.0,0.0,0.0,0.0,0.00016005359696161272,4.261225342245554e-05,0.00018401446210191351,6.597463792051803e-05
test,inventory,50,3,1.0,0.0,0.0,0.0,0.00016474604122777237,1.7358449197923496e-05,0.00020186342226224951,2.7918749826115457e-05
test,inventory,100,3,0.0,0.0,0.0,0.0,1.4352750895420712,0.3341405754886482,0.8608208088080088,0.19892158054238784
test,order,0,3,0.66,0.5716642371182581,0.0,0.0,0.0006058396394291776,0.0007975316397160046,0.08209149026718175,0.13687862025049694
test,order,25,3,1.0,0.0,0.0,0.0,0.00027086182596879857,8.984392164726667e-05,0.00035809742847050076,0.00018634056738817343
test,order,50,3,1.0,0.0,0.0,0.0,0.0002744033667598463,2.4240332188604764e-05,0.0003237116613793963,5.467831143131003e-05
test,order,100,3,0.0,0.0,0.0,0.0,1.156590830584367,0.28920705598667346,0.6972256974379221,0.17214908913930607
test,route,0,3,0.9966666666666667,0.005773502691896279,0.0,0.0,0.0005061124623777384,0.0006837112027221179,0.0003619126232054744,0.0004716146505387885
test,route,25,3,1.0,0.0,0.0,0.0,0.0004883828248421196,0.00016271984030192022,0.0003689170751992302,0.00012500580226450632
test,route,50,3,1.0,0.0,0.0,0.0,0.00042332099202515867,0.00014236710340012235,0.0003237199415404272,9.951085302188006e-05
test,route,100,3,0.0,0.0,0.0,0.0,1.054690720240275,0.1898184970969982,0.7127460916837056,0.12840160348683058
test,ticket,0,3,0.6666666666666666,0.5773502691896258,0.0,0.0,8.554633777293928e-05,3.73188627105197e-05,0.17197986153933018,0.2675877649142336
test,ticket,25,3,1.0,0.0,0.0,0.0,0.0002707478557082747,9.97253620490453e-05,0.00030796623575345925,0.00012445390310672805
test,ticket,50,3,1.0,0.0,0.0,0.0,0.0009602234564954414,0.00046371990338128034,0.000726938611381532,0.000305752329552889
test,ticket,100,3,0.0,0.0,0.0,0.0,1.229842103421688,0.32437164104555916,0.7703005885084471,0.2009565078880709
