split,corruption,seeds,exact_mean,exact_seed_sd,copied_stale_mean,copied_stale_seed_sd,value_token_nll_mean,value_token_nll_seed_sd,whole_target_nll_mean,whole_target_nll_seed_sd
conflict,0,3,0.9988888888888888,0.0009622504486494145,0.0,0.0,0.0007755476666078367,0.0008836637516996251,0.0005210686607683278,0.0005636074714807279
conflict,25,3,1.0,0.0,0.0,0.0,0.0001350227304141703,1.2492828735399683e-05,0.00014363258086329248,1.9042165421921893e-05
conflict,50,3,1.0,0.0,0.0,0.0,0.00019240475360372028,3.80482496899778e-05,0.0001765849694675126,2.5032409728413334e-05
conflict,100,3,0.0,0.0,0.0,0.0,1.039038113537762,0.22451468091366572,0.6433986365795136,0.13855216026407438
test,0,3,0.7727777777777778,0.3877905123665114,0.0,0.0,0.0008884971712316454,0.0008024963611591513,0.07827159624663384,0.12197127518497272
test,25,3,1.0,0.0,0.0,0.0,0.0002745054598108254,3.3200614552119304e-05,0.00028347438521248277,6.939598730830374e-05
test,50,3,1.0,0.0,0.0,0.0,0.0003698756561162655,0.00010798782053932036,0.0003353857601097034,9.88293834902927e-05
test,100,3,0.0,0.0,0.0,0.0,1.2451631894376542,0.2735073619330346,0.7736024438672596,0.1684156526607137
