corpus,policy,max_length,conversations,edge_bearing_conversations,nominal_tokens,nominal_supervised_tokens,retained_tokens,unique_retained_tokens,effective_supervised_tokens,unique_effective_supervised_tokens,generated_examples,attention_groups,rows_with_tokens,rows_with_supervision,mean_sequence_length,median_sequence_length,p95_sequence_length,seconds
retool,keep_start,256,2000,1160,4290596,3380027,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.164
retool,bfd,256,2000,1160,4290596,3380027,512000,512000,0,0,2000,2000,2000,0,256.0,256.0,256.0,1.619
retool,bfd_split,256,2000,1160,4290596,3380027,4290596,4290596,3366992,3366992,16780,17731,2000,2000,255.69702026221697,256.0,256.0,9.584
retool,wrapped,256,2000,1160,4290596,3380027,4290596,2155863,3362765,1689538,16761,16761,1011,1011,255.98687429151005,256.0,256.0,8.551
retool,wrapped_single_batch,256,2000,1160,4290596,3380027,4290596,4290596,3366887,3366887,16761,16761,2000,2000,255.98687429151005,256.0,256.0,9.154
retool,drop_overlength,256,2000,1160,4290596,3380027,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.145
retool,keep_end,256,2000,1160,4290596,3380027,512000,512000,444790,444790,2000,2000,2000,2000,256.0,256.0,256.0,0.614
retool,keep_start,512,2000,1160,4290596,3380027,995328,995328,273945,273945,1944,1944,1944,1944,512.0,512.0,512.0,0.795
retool,bfd,512,2000,1160,4290596,3380027,1024000,1024000,273945,273945,2000,2000,2000,1944,512.0,512.0,512.0,2.421
retool,bfd_split,512,2000,1160,4290596,3380027,4290596,4290596,3373024,3373024,8396,9355,2000,2000,511.0285850404955,512.0,512.0,8.964
retool,wrapped,512,2000,1160,4290596,3380027,4290596,2155863,3369345,1692843,8381,8381,1011,1011,511.94320486815417,512.0,512.0,8.526
retool,wrapped_single_batch,512,2000,1160,4290596,3380027,4290596,4290596,3373461,3373461,8381,8381,2000,2000,511.94320486815417,512.0,512.0,9.37
retool,drop_overlength,512,2000,1160,4290596,3380027,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.147
retool,keep_end,512,2000,1160,4290596,3380027,1024000,1024000,916026,916026,2000,2000,2000,2000,512.0,512.0,512.0,1.245
retool,keep_start,1024,2000,1160,4290596,3380027,2025867,2025867,1230440,1230440,1996,1996,1996,1996,1014.9634268537076,1024.0,1024.0,1.926
retool,bfd,1024,2000,1160,4290596,3380027,2029963,2029963,1230440,1230440,2000,2000,2000,1996,1014.9815,1024.0,1024.0,4.535
retool,bfd_split,1024,2000,1160,4290596,3380027,4290596,4290596,3376979,3376979,4197,5228,2000,2000,1022.3006909697403,1024.0,1024.0,8.838
retool,wrapped,1024,2000,1160,4290596,3380027,4290596,2155863,3372638,1694498,4191,4191,1011,1011,1023.7642567406348,1024.0,1024.0,7.824
retool,wrapped_single_batch,1024,2000,1160,4290596,3380027,4290596,4290596,3376762,3376762,4191,4191,2000,2000,1023.7642567406348,1024.0,1024.0,8.298
retool,drop_overlength,1024,2000,1160,4290596,3380027,166283,166283,93536,93536,180,180,180,180,923.7944444444444,942.5,1018.0,0.239
retool,keep_end,1024,2000,1160,4290596,3380027,2029963,2029963,1736916,1736916,2000,2000,2000,2000,1014.9815,1024.0,1024.0,2.141
retool,keep_start,2048,2000,1160,4290596,3380027,3267475,3267475,2392261,2392261,2000,2000,2000,2000,1633.7375,1685.5,2048.0,3.06
retool,bfd,2048,2000,1160,4290596,3380027,3267475,3267475,2392261,2392261,1835,2000,2000,2000,1780.640326975477,1987.0,2048.0,6.408
retool,bfd_split,2048,2000,1160,4290596,3380027,4290596,4290596,3379112,3379112,2294,2950,2000,2000,1870.355710549259,2048.0,2048.0,8.299
retool,wrapped,2048,2000,1160,4290596,3380027,4290596,2155863,3374250,1695307,2096,2096,1011,1011,2047.0400763358775,2048.0,2048.0,7.681
retool,wrapped_single_batch,2048,2000,1160,4290596,3380027,4290596,4290596,3378386,3378386,2096,2096,2000,2000,2047.0400763358775,2048.0,2048.0,8.146
retool,drop_overlength,2048,2000,1160,4290596,3380027,1825683,1825683,1248173,1248173,1296,1296,1296,1296,1408.7060185185185,1392.0,1972.25,1.72
retool,keep_end,2048,2000,1160,4290596,3380027,3267475,3267475,2590762,2590762,2000,2000,2000,2000,1633.7375,1685.5,2048.0,3.276
